#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0      201    0.401    4.085    1.075      315    8.642
       1       65    0.130    4.277    0.948      110    7.935
       2       57    0.114    4.235    0.887       50    7.428
       3       49    0.098    4.230    0.929      248    7.905
       4       34    0.068    3.784    0.966      206    7.767
       5       20    0.040    3.554    0.822      185    7.284
       6       19    0.038    3.727    0.855      160    7.639
       7       15    0.030    3.973    1.054        6   10.673
       8       15    0.030    3.077    0.741      423    9.877
       9       14    0.028    3.003    0.849      373    8.854
      10       12    0.024    3.005    0.704       21    8.976
